Restaurante,Endereco,Estrelas,Chef,AnoDeFundacao,Obs
Le Sergent Recruteur,4º arr.,1,Alain Pégouret,2012,Culinaria criativa com ingredientes de mercado e apresentações refinadas.
L’Orangerie,8º arr.,2,Alan Taudon,2016,Alta gastronomia vegetal e marinha no hotel George V.
La Rigueur,9º arr.,1,Charles Garnier,2017,Menu degustação sazonal com tecnicas modernas e apresentação minimalista.
Virtus,12º arr.,1,Chiho Kanzaki & Marc Cordonnier,2017,Par franco-japones com cozinha elegante e harmoniosa.
Le Céladon,2º arr.,1,Christophe Moine,2019,Restaurante tradicional com serviço classico e ambiente de luxo discreto.
Le Clarence,8º arr.,2,Christophe Pelé,2015,Combina requinte aristocratico com cozinha francesa moderna.
Le Chiberta,8º arr.,1,Cyril Leclerc,2004,Cozinha moderna e elegante do grupo Guy Savoy.
Le Quinzième,15º arr.,1,Cyril Lignac,2003,Cozinha moderna e acessível com reinterpretação de clássicos franceses.
Restaurant David Toutain,7º arr.,2,David Toutain,2013,Cozinha autoral moderna e sensorial com foco em contrastes de textura.
Oxte,17º arr.,1,Enrique Casarrubias,2018,Culinaria mexicana contemporanea com tecnicas francesas refinadas.
La Table d’Eugène,18º arr.,1,Geoffroy Maillard,2008,Cozinha de bairro elevada com criatividade e sabor.
Le Taillevent,8º arr.,2,Giuliano Sperandio,1946,Alta gastronomia francesa com serviço clássico e vinhos excepcionais.
Sola,5º arr.,1,Hiroki Yoshitake,2010,Mistura refinada de cozinha japonesa e francesa.
Restaurant H,4º arr.,1,Hubert Duchenne,2016,Cozinha criativa e contemporanea com ingredientes sazonais.
Qui Plume la Lune,11º arr.,1,Jacky Ribault,2020,Culinaria poetica baseada em produtos organicos e sazonais.
Pantagruel,2º arr.,1,Jason Gouzy,2019,Menu sazonal de tres atos com tecnica precisa e criatividade contemporanea.
Jean Imbert au Plaza Athénée,8º arr.,2,Jean Imbert,2022,Reinterpretação de clássicos franceses com produtos de terroir.
Le Grand Restaurant – Jean-François Piège,8º arr.,2,Jean-François Piège,2015,Tecnica precisa com reinvenção de receitas clásicas francesas.
Les Tablettes de Jean-Louis Nomicos,16º arr.,1,Jean-Louis Nomicos,2001,Cozinha mediterranea moderna com toques provençais.
Les Climats,7º arr.,1,Julien Binet,2014,Cozinha de terroir com grande variedade de vinhos borgonheses.
Abri,10º arr.,1,Katsuaki Okiyama,2008,Famoso pela fusão franco-japonesa e pelo lendário sanduíche de segunda-feira.
Restaurant Kei,1º arr.,3,Kei Kobayashi,2011,Combina estética japonesa com técnica francesa refinada em menus degustação artisticos.
ERH,3º arr.,1,Keita Kitamura,2020,Fusão franco-japonesa com técnica precisa e pratos minimalistas.
Le Faham,17º arr.,1,Kelly Rangama,2019,Culinaria inspirada na Ilha da Reunião com sabores exoticos e criativos.
L’Axel,Fontainebleau (Paris),1,Kunihisa Goh,1997,Cozinha criativa franco-japonesa de extrema elegância.
Le Bristol Paris – 114 Faubourg,8º arr.,1,Loïc Dantzler,2009,Bistro elegante do Hotel Bristol com foco em sabor e autenticidade.
Substance,16º arr.,1,Matthias Marc,2018,Cozinha francesa moderna com texturas e molhos inovadores.
